Sample,nest,site,trt,layorder,year,date,time,plate,plate_T4,clutch_size,egg_mass,yolk_mass,cort,test,t4
208,M8-22,N,C,2,2022,5/9/22,9:05,5,4,7,1.3835,0.297,4.175,7.275,2.559
209,M20-20,N,C,5,2020,5/7/20,12:53,5,4,8,1.03,0.2584,4.199,4.557,6.149
210,M20-22,N,T,4,2022,5/5/22,11:09,5,4,7,1.3706,0.2768,3.833,3.253,0.943
211,M3-22,N,C,3,2022,5/3/22,9:25,5,4,8,1.4272,0.2617,4.261,2.386,1.232
212,C35,U,T,4,2020,5/19/20,11:43,5,4,7,1.36,0.3425,4.187,6.432,2.322
213,M24-20,N,T,3,2020,5/9/20,11:10,5,4,7,1.45,0.3058,4.359,4.961,2.319
214,A74,R,C,2,2020,5/27/20,9:54,5,4,7,1.39,0.2172,4.44,11.36,0.502
215,A90,R,C,1,2020,5/2/20,9:05,5,4,8,1.26,0.2324,6.588,12.935,2.508
216,C16,U,C,2,2021,7/3/21,10:06,5,4,5,1.4461,0.2644,4.262,10.228,0.435
217,M28,N,C,4,2022,6/9/22,11:02,5,4,6,1.3505,0.2602,5.726,7.488,1.792
218,M3B,N,T,3,2022,6/17/22,10:14,5,4,6,1.4641,0.293,3.253,2.116,4.928
219,F2,R,C,5,2020,6/17/20,12:19,5,4,5,1.51,0.2505,5.465,7.988,3.175
220,M19,N,C,5,2020,6/9/20,11:14,5,4,6,1.31,0.3591,3.492,2.516,5.489
221,M17-21,N,C,2,2021,5/11/21,8:56,5,4,7,1.477,0.3403,4.164,5.43,2.501
222,M24-20,N,T,1,2020,5/7/20,13:30,5,4,7,1.56,0.3328,3.99,6.393,2.18
223,M15-22,N,T,6,2022,5/9/22,9:00,5,4,7,1.46,0.361,3.158,3.878,3.958
